Value,Region
8032377,Auvergne-Rhô
2783039,Bourgogne-Franche-Comté
3340379,Bretagne
2559073,Centre-Val de Loire
344679,Corse
5511747,Grand Est
5962662,Hauts-de-France
12278210,Île-de-France
3303500,Normandie
5999982,Nouvelle-Aquitaine
5924858,Occitanie
3801797,Pays de la Loire
5055651,Provence-Alpes-Côte d'Azur
